SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
MFAP2.9294.45.3,MFAP2,P55001,0.024904665,SL012443,9294.45
LGALS8.4909.68.1,LGALS8,O00214,-0.024625444,SL005167,4909.68
PTPRH.11988.24.3,PTPRH,Q9HD43,-0.024107354,SL015251,11988.24
DIABLO.3122.6.2,DIABLO,Q9NR28,0.023409914,SL003733,3122.6
DCN.2666.53.2,DCN,P07585,0.023295957,SL004081,2666.53
DNER.9769.48.3,DNER,Q8NFT8,0.023108139,SL008968,9769.48
ADAMTS13.3175.51.5,ADAMTS13,Q76LX8,-0.022804549,SL006610,3175.51
IFNA5.6210.100.3,IFNA5,P01569,0.02228908,SL017258,6210.1
ERBB2.2616.23.18,ERBB2,P04626,-0.022269437,SL000009,2616.23
HMGB2.6913.189.3,HMGB2,P26583,0.022030687,SL004640,6913.189
C17orf67.9070.1.3,C17orf67,Q0P5P2,0.021826534,SL018815,9070.1
WFIKKN2.3235.50.2,WFIKKN2,Q8TEU8,-0.021786048,SL010391,3235.5
NR1H2.9016.12.3,NR1H2,P55055,-0.02154938,SL007287,9016.12
ST3GAL1.5657.28.3,ST3GAL1,Q11201,0.02153126,SL009528,5657.28
NPPB.7655.11.3,NPPB,P16860,0.021262938,SL002785,7655.11
BPI.4126.22.1,BPI,P17213,-0.020861425,SL004511,4126.22
XDH.11264.33.3,XDH,P47989,-0.020615421,SL019346,11264.33
THSD7A.11174.8.3,THSD7A,Q9UPZ6,0.020223717,SL011312,9600.55
COPS2.14029.42.3,COPS2,P61201,-0.020050928,SL010966,14029.42
MASP1.3605.77.4,MASP1,P48740,-0.019724341,SL011049,9125.23
SPOP.13727.44.3,SPOP,O43791,-0.019480001,SL020220,13727.44
SVEP1.11178.21.3,SVEP1,Q4LDE5,0.019253904,SL012540,11178.21
DEFB112.5689.1.3,DEFB112,Q30KQ8,-0.0186989,SL012531,5689.1
MAPKAPK5.3821.28.1,MAPKAPK5,Q8IW41,-0.018669731,SL010504,8382.47
ARPP21.12860.7.3,ARPP21,Q9UBL0,-0.018643261,SL006617,12860.7
CTRB1.5671.1.3,CTRB1,P17538,0.018396215,SL000353,5671.1
MMP2.4160.49.1,MMP2,P08253,0.018023235,SL000124,4160.49
PGRMC1.7863.50.3,PGRMC1,O00264,-0.017348486,SL008875,7863.5
ANKRD27.12445.50.3,ANKRD27,Q96NW4,0.017145106,SL019727,12445.5
GPLD1.11939.11.3,GPLD1,,-0.017057291,GPLD1.11939.11.3,
PRSS2.5034.79.1,PRSS2,P07478,0.016735795,SL010388,5034.79
ZP4.7766.25.3,ZP4,Q12836,-0.016707911,SL018241,7766.25
DSC3.4981.6.1,DSC3,Q14574,0.016481638,SL008709,4981.6
TMEM52.11186.12.3,TMEM52,Q8NDY8,-0.01619036,SL019314,11186.12
NCR3LG1.7854.38.3,NCR3LG1,Q68D85,-0.015783566,SL018292,7854.38
RNF128.6510.56.3,RNF128,Q8TEB7,0.015749554,SL017466,8633.18
CAST.3026.5.2,CAST,P20810,0.015355623,SL000338,3026.5
UQCRB.12957.62.3,UQCRB,P14927,-0.014743735,SL008041,12957.62
