SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
11177-16,KRT5,P13647,0.00010925471177819829,SL006465,seq.11177.16
11178-21,SVEP1,Q4LDE5,-0.00540748657483497,SL012540,seq.11178.21
11179-7,TSSK1B,Q9BXA7,0.0041459539670896375,SL006717,seq.11179.7
11180-17,SMARCC1,Q92922,0.00021512870975964895,SL019318,seq.11180.17
11185-145,GCH1,P30793,0.00016959697737480516,SL019341,seq.11185.145
11186-12,TMEM52,Q8NDY8,0.0,SL019314,seq.11186.12
11187-11,CLEC12A,Q5QGZ9,-0.029945646607933325,SL018579,seq.11187.11
11190-129,YME1L1,Q96TA2,-0.00027046373801948854,SL019328,seq.11190.129
11192-168,TINAGL1,Q9GZM7,0.0020017905967041234,SL008302,seq.11192.168
11193-27,HNF1A,P20823,0.0,SL019342,seq.11193.27
11194-6,SIT1,Q9Y3P8,-0.01215216273859739,SL007783,seq.11194.6
11196-31,COL6A3,P12111,-0.0018090987290984293,SL004928,seq.11196.31
11198-37,CREB3L1,Q96BA8,-0.00028883266300023283,SL012768,seq.11198.37
11201-19,PUS1,Q9Y606,-0.0012880092956414652,SL019343,seq.11201.19
11202-70,TBX5,Q99593,0.00028795333916513475,SL019350,seq.11202.70
11204-80,CXADR,P78310,-6.769127722803809e-05,SL009892,seq.11204.80
11205-10,ITGB7,P26010,0.0,SL004571,seq.11205.10
11207-3,MSR1,P21757,0.0,SL004580,seq.11207.3
11208-15,NAGPA,Q9UK23,-0.0010477126820174127,SL019369,seq.11208.15
11211-7,TBCE,Q15813,-0.05261952444013246,SL019355,seq.11211.7
11212-7,TXNDC5,Q8NBS9,0.0,SL008805,seq.11212.7
11214-40,DNAJB9,Q9UBS3,0.0,SL019363,seq.11214.40
11215-6,CDH15,P55291,-0.013871779784056754,SL007295,seq.11215.6
11217-16,CTBP1,Q13363,0.0,SL007405,seq.11217.16
11218-84,TPMT,P51580,0.0,SL019351,seq.11218.84
11219-95,FGFBP3,Q8TAT2,0.0,SL012727,seq.11219.95
11220-53,C10orf105,Q8TEF2,0.029227743283332854,SL019359,seq.11220.53
11223-1,TMEM154,Q6P9G4,-2.7417894140429847e-05,SL018407,seq.11223.1
11226-16,UBE3A,Q05086,-0.0049177105749557155,SL019352,seq.11226.16
11227-31,TBL2,Q9Y4P3,0.0001680507120809588,SL019356,seq.11227.31
11228-37,RIC3,Q7Z5B4,0.0,SL018079,seq.11228.37
11229-16,ERN1,O75460,0.000156386197619841,SL007036,seq.11229.16
11231-12,FDX2,Q6P4F2,-0.0005058086267215538,SL019364,seq.11231.12
11237-49,PCOLCE,Q15113,-0.00043682764909093794,SL006539,seq.11237.49
11239-49,TMPRSS6,Q8IU80,0.001129395789288393,SL019365,seq.11239.49
11241-8,ASL,P04424,0.0029317215937150515,SL011173,seq.11241.8
11242-33,TGM1,P22735,-0.0038909138375061636,SL019353,seq.11242.33
11243-90,ADGRF1,Q5T601,0.0006956430635301157,SL019357,seq.11243.90
11247-20,NAGS,Q8N159,0.0010684578398335999,SL019366,seq.11247.20
11248-43,UROS,P10746,0.00027151088035550397,SL019345,seq.11248.43
11252-30,LRCH4,O75427,0.0,SL018826,seq.11252.30
11254-13,PAPLN,O95428,-0.003132437578248392,SL012393,seq.11254.13
11257-1,QDPR,P09417,0.0,SL007095,seq.11257.1
11258-41,MADCAM1,Q13477,-0.013289639629482717,SL004569,seq.11258.41
11260-47,SUN5,Q8TC36,0.0026557477559120677,SL012729,seq.11260.47
11262-39,TRABD,Q9H4I3,0.00014100011921551443,SL019367,seq.11262.39
11263-57,CASQ1,P31415,-0.032732903802323264,SL019372,seq.11263.57
11264-33,XDH,P47989,0.0,SL019346,seq.11264.33
11265-8,ALDH1A1,P00352,0.00123956911098042,SL005674,seq.11265.8
11266-8,SELPLG,Q14242,-0.027152937745125807,SL007418,seq.11266.8
11270-17,CHCHD10,Q8WYQ3,-0.010342203368865608,SL019368,seq.11270.17
11273-176,GSTT2B,P0CG30,5.254217267504742e-05,SL013030,seq.11273.176
11275-94,LRP1B,Q9NZR2,0.0,SL013872,seq.11275.94
11277-23,ATF6,P18850,0.0,SL014732,seq.11277.23
